object_id,funded_at,funding_round_type,raised_amount_usd,participants,office_id,region,zip_code,state_code
c:96,2007-02-27,series-b,7000000,4,5486,SF Bay,94107,CA
c:96,2006-11-29,series-a,6200000,3,93,Boston,\N,MA
c:96,2006-11-29,series-a,6200000,3,5486,SF Bay,94107,CA
c:4,2005-10-01,series-a,2800000,8,4,SF Bay,94107,CA
c:103,2007-04-01,series-a,\N,2,100,SF Bay,94401,CA
c:105,2006-05-01,series-b,3000000,2,102,New York,10003,NY
c:105,2005-04-01,series-a,500000,9,102,New York,10003,NY
c:107,2006-02-01,series-b,6500000,4,104,SF Bay,94010,CA
c:107,2006-08-01,series-c+,8000000,1,104,SF Bay,94010,CA
c:106,2007-06-29,series-a,5350000,2,103,Raleigh-Durham,27560,NC
c:113,2006-10-01,series-c+,10000000,1,110,SF Bay,94103,CA
c:113,2005-10-01,series-b,5000000,1,110,SF Bay,94103,CA
c:47,2007-07-01,series-c+,44000000,1,46,SF Bay,94005,CA
c:47,2007-01-01,series-a,\N,3,46,SF Bay,94005,CA
c:123,2006-03-01,series-a,3200000,0,120,SF Bay,\N,CA
c:123,2007-03-01,series-b,8000000,0,120,SF Bay,\N,CA
c:127,2007-05-01,angel,\N,0,124,SF Bay,94086,CA
c:126,2007-02-01,series-c+,15000000,4,123,SF Bay,95051,CA
c:125,2006-02-01,angel,50000,1,122,SF Bay,\N,CA
c:126,2004-01-01,series-b,8000000,1,123,SF Bay,95051,CA
c:116,2007-01-01,angel,450000,0,113,SF Bay,95054,CA
c:128,2004-10-01,series-a,1500000,2,125,Seattle,98119,WA
c:128,2005-07-01,series-b,7000000,3,125,Seattle,98119,WA
c:128,2007-01-01,series-c+,12100000,6,125,Seattle,98119,WA
c:118,2007-07-01,series-a,2300000,2,115,Seattle,98104,WA
c:118,2007-07-01,angel,700000,0,115,Seattle,98104,WA
c:131,2007-01-01,series-a,1500000,3,128,SF Bay,94063,CA
c:131,2007-03-01,series-b,15000000,3,128,SF Bay,94063,CA
c:135,2006-05-01,series-a,1300000,1,132,SF Bay,94114,CA
c:134,2007-01-01,angel,500000,1,131,Seattle,98109,WA
c:142,2006-05-01,series-a,15000000,1,139,SF Bay,94108,CA
c:140,2006-11-01,series-c+,20000000,4,137,SF Bay,94107,CA
c:140,2005-07-01,series-b,8000000,2,137,SF Bay,94107,CA
c:139,2006-09-01,series-a,1000000,1,136,SF Bay,94105,CA
c:139,2007-04-01,series-a,1000000,1,136,SF Bay,94105,CA
c:141,2006-09-01,series-c+,12000000,3,138,SF Bay,94107,CA
c:153,2004-10-28,series-a,8000000,5,150,Boston,2451,MA
c:153,2006-03-01,series-b,11000000,7,150,Boston,2451,MA
c:155,2004-06-01,series-a,1000000,0,152,Chicago,60610,IL
c:155,2005-04-01,series-b,7000000,4,152,Chicago,60610,IL
c:156,2005-02-01,series-a,7000000,3,153,SF Bay,94041,CA
c:156,2006-10-01,series-b,4000000,3,153,SF Bay,94041,CA
c:156,2007-07-01,series-c+,15000000,3,153,SF Bay,94041,CA
c:77,2007-07-01,series-a,10000000,2,74,SF Bay,94403,CA
c:149,2004-07-01,series-a,1100000,1,146,SF Bay,94005,CA
c:149,2005-07-01,series-b,10000000,3,146,SF Bay,94005,CA
c:149,2006-12-01,series-c+,18500000,5,146,SF Bay,94005,CA
c:161,2004-01-01,series-b,7800000,5,157,SF Bay,94612,CA
c:161,2005-10-01,series-c+,12000000,5,157,SF Bay,94612,CA
c:169,2006-09-01,series-a,\N,2,165,New York,10001,NY
c:357,2006-05-01,series-c+,4100000,1,351,SF Bay,94086,CA
c:170,2004-09-01,series-a,4000000,1,166,SF Bay,94103,CA
c:170,2006-02-01,series-b,8000000,2,166,SF Bay,94103,CA
c:173,2005-12-01,series-a,3500000,2,169,SF Bay,94041,CA
c:173,2007-01-01,series-b,9000000,1,169,SF Bay,94041,CA
c:141,2007-04-01,series-c+,3000000,1,138,SF Bay,94107,CA
c:176,2003-11-01,series-a,4700000,2,172,SF Bay,94043,CA
c:176,2004-10-01,series-b,10000000,1,172,SF Bay,94043,CA
c:176,2007-01-29,series-c+,12800000,2,172,SF Bay,94043,CA
c:177,2007-03-01,series-a,1600000,2,173,SF Bay,,CA
c:174,2006-11-01,angel,250000,1,170,SF Bay,94107,CA
c:175,2005-07-01,series-a,1250000,1,171,Seattle,98119,WA
c:180,2007-07-01,series-c+,13500000,5,176,unknown,PA 19047,PA
c:181,2007-02-01,series-a,10000000,1,177,SF Bay,94306-2123,CA
c:182,2006-01-01,series-a,14000000,1,178,SF Bay,94107,CA
c:182,2007-07-01,series-b,21000000,1,178,SF Bay,94107,CA
c:184,2006-01-01,series-a,2500000,2,180,Seattle,98122,WA
c:184,2006-01-01,series-b,13300000,1,180,Seattle,98122,WA
c:172,2005-06-01,angel,1000000,7,168,SF Bay,94133,CA
c:183,2006-10-01,series-a,1500000,1,179,SF Bay,94022,CA
c:187,2006-03-01,series-a,2500000,3,183,Boston,2116,MA
c:187,2006-12-01,series-a,3500000,2,183,Boston,2116,MA
c:187,2007-05-01,series-b,15000000,3,183,Boston,2116,MA
c:188,2006-07-01,series-a,1800000,0,184,SF Bay,94404,CA
c:180,2004-09-01,series-a,6600000,2,176,unknown,PA 19047,PA
c:180,2006-06-01,series-b,8100000,1,176,unknown,PA 19047,PA
c:180,2006-06-01,other,1500000,1,176,unknown,PA 19047,PA
c:192,2005-03-01,series-a,1500000,9,188,SF Bay,94041,CA
c:253,2000-05-01,series-a,7700000,1,247,Seattle,98005,WA
c:253,2002-05-01,series-b,5000000,1,247,Seattle,98005,WA
c:253,2005-01-01,series-c+,10000000,1,247,Seattle,98005,WA
c:253,2003-03-01,series-c+,15500000,1,247,Seattle,98005,WA
c:190,2007-07-01,series-a,5000000,2,186,SF Bay,94301,CA
c:191,2006-01-01,series-a,10000000,3,187,Los Angeles,90048,CA
c:191,2006-10-01,series-b,40000000,10,187,Los Angeles,90048,CA
c:194,2006-06-01,series-a,325000,2,189,SF Bay,,CA
c:195,2007-07-01,series-c+,12000000,5,190,Seattle,98121,WA
c:197,2005-01-01,series-a,6200000,2,192,SF Bay,94041,CA
c:195,2006-05-01,series-b,8000000,4,190,Seattle,98121,WA
c:195,2005-09-01,series-a,770000,1,190,Seattle,98121,WA
c:203,2006-11-07,series-a,7000000,3,198,SF Bay,\N,CA
c:208,2006-05-01,series-a,5000000,2,203,SF Bay,94410,CA
c:208,2007-07-01,series-b,11000000,1,203,SF Bay,94410,CA
c:206,2006-09-01,series-b,7500000,3,201,San Diego,92130,CA
c:206,2005-03-01,series-a,2100000,2,201,San Diego,92130,CA
c:158,2005-07-01,series-a,16000000,2,155,SF Bay,94063,CA
c:210,2004-01-01,angel,1200000,4,205,SF Bay,94085,CA
c:210,2006-03-01,series-b,13500000,2,205,SF Bay,94085,CA
c:211,2005-01-01,series-a,8000000,4,206,SF Bay,94303,CA
c:211,2006-12-01,series-b,18000000,6,206,SF Bay,94303,CA
c:214,2007-07-01,series-a,\N,0,209,SF Bay,94107,CA
c:220,2007-02-01,series-a,2000000,3,215,SF Bay,94103,CA
c:219,2005-08-01,angel,950000,1,214,SF Bay,94111,CA
c:221,2005-04-01,series-a,\N,2,216,SF Bay,94108,CA
c:163,2000-03-01,series-a,1200000,3,159,SF Bay,94404,CA
c:163,2001-05-01,series-a,300000,3,159,SF Bay,94404,CA
c:231,2006-07-01,series-a,\N,1,226,Pittsburg,15222,PA
c:234,2004-01-01,angel,300000,2,228,SF Bay,94301,CA
c:234,2005-04-01,series-b,3100000,2,228,SF Bay,94301,CA
c:202,2011-03-31,series-b,1500000,1,197,Charlottesville,22902,VA
c:237,2007-02-01,series-a,4000000,2,231,SF Bay,94566,CA
c:235,2006-05-01,series-a,4000000,3,229,Austin,78746,TX
c:239,2005-12-01,series-a,6250000,2,233,SF Bay,94103,CA
c:357,2005-06-01,series-b,1000000,0,351,SF Bay,94086,CA
c:243,2007-07-01,series-a,20000000,1,237,SF Bay,94105,CA
c:245,2005-09-01,series-a,1500000,1,239,SF Bay,94119-3152,CA
c:245,2005-12-01,series-a,7000000,1,239,SF Bay,94119-3152,CA
c:246,2007-05-01,series-a,7000000,3,240,Boston,2110,MA
c:246,2007-05-01,series-a,7000000,3,5675,New York,10011,NY
c:246,2007-05-01,series-a,7000000,3,5676,Los Angeles,90025,CA
c:126,1999-12-01,series-a,2200000,1,123,SF Bay,95051,CA
c:126,2000-10-01,series-a,6800000,1,123,SF Bay,95051,CA
c:247,2006-07-01,series-a,\N,1,241,Chicago,60607,IL
c:249,2005-08-01,series-a,5000000,3,243,New York,6901,CT
c:253,2007-07-01,series-c+,20000000,3,247,Seattle,98005,WA
c:236,2004-07-01,angel,300000,1,230,Dallas,\N,TX
c:266,2006-03-01,series-a,5100000,2,260,SF Bay,94404,CA
c:266,2007-01-01,series-b,10000000,1,260,SF Bay,94404,CA
c:270,2007-06-01,angel,250000,1,264,SF Bay,,CA
c:265,2006-12-01,angel,\N,0,259,New York,10001,NY
c:270,2007-07-01,series-a,1500000,2,264,SF Bay,,CA
c:271,2007-07-01,series-a,6000000,2,265,SF Bay,94111,CA
c:264,2007-07-01,series-a,5000000,2,258,Boston,2108,MA
c:277,2006-10-26,series-a,6326500,1,5740,SF Bay,94102,CA
c:280,2007-06-01,series-a,2300000,1,274,SF Bay,94107,CA
c:251,2007-07-01,series-a,1500000,4,245,SF Bay,94025,CA
c:282,2006-12-01,series-a,4000000,2,276,SF Bay,94104,CA
c:281,2005-01-01,series-a,5000000,3,275,SF Bay,94043,CA
c:357,2004-12-01,series-a,440000,2,351,SF Bay,94086,CA
c:282,2005-11-01,angel,300000,0,276,SF Bay,94104,CA
c:196,2006-03-01,series-b,17000000,4,191,SF Bay,94404,CA
c:196,2006-03-01,series-a,7700000,4,191,SF Bay,94404,CA
c:289,2006-12-01,series-b,12000000,4,283,SF Bay,94402,CA
c:295,2006-01-01,angel,\N,1,289,Seattle,98104,WA
c:292,2006-10-01,series-a,3500000,0,286,SF Bay,94025-1449,CA
c:300,2006-03-01,series-a,5500000,2,294,SF Bay,94304,CA
c:300,2007-06-01,series-a,2000000,2,294,SF Bay,94304,CA
c:303,2005-12-01,series-a,1750000,2,297,Los Angeles,90232,CA
c:305,2007-06-01,series-a,\N,2,299,Los Angeles,\N,CA
c:291,2006-06-01,series-a,560000,1,285,SF Bay,94085,CA
c:291,2007-02-01,series-a,1500000,0,285,SF Bay,94085,CA
c:12,2007-07-01,series-a,5000000,10,12,SF Bay,94103,CA
c:316,2006-03-01,series-a,4000000,10,310,SF Bay,94017-1889,CA
c:316,2006-12-01,series-b,10000000,1,310,SF Bay,94017-1889,CA
c:314,2005-06-01,angel,100000,1,308,SF Bay,94107,CA
c:319,2007-07-01,series-a,2800000,1,313,Seattle,98109,WA
c:319,2007-05-01,angel,250000,1,313,Seattle,98109,WA
c:321,2007-01-01,angel,15000,1,315,SF Bay,,CA
c:320,2006-12-01,series-a,3200000,2,314,SF Bay,,CA
c:320,2006-02-01,angel,700000,1,314,SF Bay,,CA
c:330,2006-09-01,series-b,7000000,1,324,SF Bay,,CA
c:330,2007-07-01,series-c+,29000000,6,324,SF Bay,,CA
c:326,2007-04-24,series-b,10000000,4,320,SF Bay,95008,CA
c:302,2004-10-01,series-a,3200000,3,296,Seattle,98104,WA
c:302,2005-10-01,series-b,7000000,4,296,Seattle,98104,WA
c:302,2007-07-01,series-c+,10300000,7,296,Seattle,98104,WA
c:328,2006-07-01,series-a,1500000,0,322,SF Bay,94040,CA
c:329,2005-12-01,angel,\N,1,323,Seattle,\N,WA
c:333,2001-02-16,series-c+,90000000,5,327,SF Bay,95125,CA
c:334,2006-10-01,series-a,5500000,1,328,SF Bay,94402,CA
c:335,2005-06-01,series-a,21000000,5,329,SF Bay,95051,CA
c:336,2006-01-01,series-a,5400000,2,330,Denver,,CO
c:336,2007-07-01,series-b,10000000,1,330,Denver,,CO
c:325,2005-03-01,series-a,5500000,2,319,Boston,2142,MA
c:325,2005-11-01,series-b,16200000,3,319,Boston,2142,MA
c:344,2007-06-01,series-c+,9000000,8,338,Boston,2451,MA
c:113,2004-07-01,series-a,1000000,1,110,SF Bay,94103,CA
c:325,2007-01-01,series-c+,59500000,11,319,Boston,2142,MA
c:325,2006-09-01,series-b,5000000,1,319,Boston,2142,MA
c:347,2007-01-01,angel,600000,4,341,United States - Other,\N,\N
c:353,2004-07-01,series-a,2500000,2,347,Seattle,98109,WA
c:353,2005-11-01,series-b,8000000,1,347,Seattle,98109,WA
c:354,1999-11-01,series-a,7500000,1,348,SF Bay,94107,CA
c:354,2000-05-01,series-b,36000000,4,348,SF Bay,94107,CA
c:363,2007-08-01,angel,15000,1,357,Denver,\N,CO
c:348,2006-03-01,series-a,8500000,3,342,SF Bay,94103,CA
c:99,2007-08-01,series-a,\N,1,96,New York,,NY
c:361,2006-02-01,angel,1000000,1,355,SF Bay,94041,CA
c:383,2006-06-01,series-a,8930000,2,377,SF Bay,,CA
c:383,2007-03-01,series-b,12000000,3,377,SF Bay,,CA
c:385,2007-08-01,series-c+,30000000,4,379,SF Bay,94111-5540,CA
c:385,2006-08-01,series-b,20000000,2,379,SF Bay,94111-5540,CA
c:365,2007-12-19,series-a,18000000,5,359,San Diego,92121,CA
c:312,2007-08-01,angel,15000,1,306,Denver,\N,CO
c:370,2007-08-01,series-a,\N,2,364,SF Bay,94105,CA
c:192,2006-03-01,series-b,2000000,1,188,SF Bay,94041,CA
c:192,2007-03-01,series-c+,1500000,1,188,SF Bay,94041,CA
c:390,2007-08-01,series-a,1200000,1,384,SF Bay,94010,CA
c:391,2007-08-01,series-a,36600000,3,385,San Diego,92130,CA
c:36,2006-01-01,series-a,5000000,3,35,Los Angeles,90232,CA
c:36,2007-01-01,series-b,16000000,6,35,Los Angeles,90232,CA
c:402,2005-11-01,series-a,4000000,3,396,Los Angeles,,CA
c:402,2006-04-01,series-b,8700000,4,396,Los Angeles,,CA
c:403,2007-05-01,angel,150000,2,397,San Diego,92056,CA
c:40,2005-07-01,series-a,2250000,1,39,San Diego,92121,CA
c:404,2006-07-01,series-b,15000000,2,398,SF Bay,94107,CA
c:407,2007-08-01,series-a,2000000,1,401,United States - Other,\N,\N
c:450,2005-09-01,series-a,8750000,1,444,SF Bay,94107,CA
c:409,2006-11-01,series-a,3000000,1,403,Indianapolis,46032,IN
c:410,2005-01-01,angel,\N,2,404,SF Bay,94025,CA
c:410,2005-03-01,series-a,\N,2,404,SF Bay,94025,CA
c:410,2005-11-01,series-b,3300000,1,404,SF Bay,94025,CA
c:410,2006-06-01,series-c+,10000000,1,404,SF Bay,94025,CA
c:203,2005-10-05,angel,200000,2,198,SF Bay,\N,CA
c:420,2007-08-01,series-b,10300000,3,414,SF Bay,94103,CA
c:420,2006-07-01,series-a,7000000,2,414,SF Bay,94103,CA
c:141,2005-04-01,series-a,400000,2,138,SF Bay,94107,CA
c:141,2006-01-01,series-b,3500000,3,138,SF Bay,94107,CA
c:416,2006-03-01,series-a,5000000,2,410,San Diego,92130,CA
c:416,2007-10-01,series-b,16500000,4,410,San Diego,92130,CA
c:130,2007-08-01,series-b,11000000,4,127,New York,10011,NY
c:130,2006-06-01,series-a,7000000,2,127,New York,10011,NY
c:432,2007-07-01,series-a,\N,2,426,SF Bay,\N,CA
c:434,2002-01-01,angel,\N,1,428,SF Bay,94103,CA
c:434,2004-12-01,series-a,10000000,2,428,SF Bay,94103,CA
c:442,2007-01-01,angel,\N,0,436,Pennsylvania - Other,15259,PA
c:446,2007-05-01,angel,650000,5,440,SF Bay,94133,CA
c:450,2006-12-01,series-b,25000000,2,444,SF Bay,94107,CA
c:429,2006-07-01,series-c+,70000000,5,423,SF Bay,94608,CA
c:429,2004-08-01,series-b,15000000,4,423,SF Bay,94608,CA
c:429,2006-11-01,series-c+,30000000,2,423,SF Bay,94608,CA
c:453,2007-03-01,series-a,1000000,1,445,SF Bay,94105,CA
c:453,2007-08-01,series-b,5000000,4,445,SF Bay,94105,CA
c:465,2007-08-01,angel,15000,1,5884,SF Bay,94010,CA
c:464,2007-08-01,angel,15000,1,456,United States - Other,\N,\N
c:463,2007-08-01,angel,15000,1,455,SF Bay,94301,CA
c:462,2007-08-01,angel,15000,1,454,United States - Other,\N,\N
c:461,2007-08-01,angel,15000,1,453,Denver,\N,CO
c:460,2007-08-01,angel,15000,1,452,Philadelphia,19107,PA
c:459,2007-08-01,angel,15000,1,451,Denver,80302,CO
c:458,2007-08-01,angel,15000,1,450,Denver,80302,CO
c:427,2007-06-01,angel,15000,1,421,United States - Other,\N,\N
c:425,2007-06-01,angel,\N,1,419,SF Bay,94107,CA
c:426,2007-06-01,angel,10000,1,420,United States - Other,,\N
c:471,2010-12-01,series-a,1000000,1,462,Boston,2111,MA
c:367,2007-06-01,angel,15000,1,361,SF Bay,94306,CA
c:470,2007-01-01,angel,\N,1,461,Pittsburg,15213,PA
c:477,2007-06-26,series-a,6000000,2,468,Raleigh-Durham,27701,NC
c:59,1998-08-01,angel,100000,1,58,SF Bay,,CA
c:59,1998-08-01,angel,100000,1,5132,Detroit,48104,MI
c:59,1998-08-01,angel,100000,1,5133,Atlanta,30309,GA
c:59,1998-08-01,angel,100000,1,5134,Austin,78731,TX
c:59,1998-08-01,angel,100000,1,5135,Denver,80302,CO
c:59,1998-08-01,angel,100000,1,5136,Boston,2142,MA
c:59,1998-08-01,angel,100000,1,5138,Chicago,60610,IL
c:59,1998-08-01,angel,100000,1,5139,Dallas,75019,TX
c:59,1998-08-01,angel,100000,1,5140,Dallas,75219,TX
c:59,1998-08-01,angel,100000,1,5141,Denver,80237,CO
c:59,1998-08-01,angel,100000,1,5142,Detroit,48009,MI
c:59,1998-08-01,angel,100000,1,5143,Los Angeles,92612,CA
c:59,1998-08-01,angel,100000,1,5144,Seattle,98033,WA
c:59,1998-08-01,angel,100000,1,5145,New York,10011,NY
c:59,1998-08-01,angel,100000,1,5146,Phoenix,85281,AZ
c:59,1998-08-01,angel,100000,1,5147,Pittsburg,15213,PA
c:59,1998-08-01,angel,100000,1,5148,SF Bay,94105,CA
c:59,1998-08-01,angel,100000,1,5149,Los Angeles,90401,CA
c:59,1998-08-01,angel,100000,1,5150,Seattle,98103,WA
c:59,1998-08-01,angel,100000,1,5151,Seattle,98103,WA
c:59,1998-08-01,angel,100000,1,5152,Washington DC,20005,DC
c:59,1998-08-01,angel,100000,1,5160,Gurgaon,122002,\N
c:59,1998-08-01,angel,100000,1,5165,Osaka,550-0002,\N
c:59,1999-06-07,series-a,25000000,2,58,SF Bay,,CA
c:59,1999-06-07,series-a,25000000,2,5132,Detroit,48104,MI
c:59,1999-06-07,series-a,25000000,2,5133,Atlanta,30309,GA
c:59,1999-06-07,series-a,25000000,2,5134,Austin,78731,TX
c:59,1999-06-07,series-a,25000000,2,5135,Denver,80302,CO
c:59,1999-06-07,series-a,25000000,2,5136,Boston,2142,MA
c:59,1999-06-07,series-a,25000000,2,5138,Chicago,60610,IL
c:59,1999-06-07,series-a,25000000,2,5139,Dallas,75019,TX
c:59,1999-06-07,series-a,25000000,2,5140,Dallas,75219,TX
c:59,1999-06-07,series-a,25000000,2,5141,Denver,80237,CO
c:59,1999-06-07,series-a,25000000,2,5142,Detroit,48009,MI
c:59,1999-06-07,series-a,25000000,2,5143,Los Angeles,92612,CA
c:59,1999-06-07,series-a,25000000,2,5144,Seattle,98033,WA
c:59,1999-06-07,series-a,25000000,2,5145,New York,10011,NY
c:59,1999-06-07,series-a,25000000,2,5146,Phoenix,85281,AZ
c:59,1999-06-07,series-a,25000000,2,5147,Pittsburg,15213,PA
c:59,1999-06-07,series-a,25000000,2,5148,SF Bay,94105,CA
c:59,1999-06-07,series-a,25000000,2,5149,Los Angeles,90401,CA
c:59,1999-06-07,series-a,25000000,2,5150,Seattle,98103,WA
c:59,1999-06-07,series-a,25000000,2,5151,Seattle,98103,WA
c:59,1999-06-07,series-a,25000000,2,5152,Washington DC,20005,DC
c:59,1999-06-07,series-a,25000000,2,5160,Gurgaon,122002,\N
c:59,1999-06-07,series-a,25000000,2,5165,Osaka,550-0002,\N
c:505,2007-08-01,series-a,5500000,2,495,Boston,2142,MA
c:485,2007-08-01,angel,1000000,3,476,SF Bay,94107,CA
c:492,2006-04-01,series-a,\N,1,483,San Diego,92101,CA
c:404,2007-08-01,series-c+,30000000,4,398,SF Bay,94107,CA
c:401,2007-08-01,series-a,5500000,1,395,New York,10010,NY
c:513,2006-12-01,series-a,6500000,2,503,Boston,2138,MA
c:516,2007-01-01,angel,250000,3,506,SF Bay,94107-1747,CA
c:519,2005-12-01,series-a,5600000,1,509,Los Angeles,,CA
c:518,2005-07-01,series-a,8900000,2,508,SF Bay,94107,CA
c:107,2005-02-01,series-a,7000000,3,104,SF Bay,94010,CA
c:520,2004-06-01,series-a,7500000,2,510,United States - Other,\N,\N
c:520,2005-01-01,series-b,8000000,2,510,United States - Other,\N,\N
c:521,2005-11-01,series-a,4000000,2,511,Seattle,98101,WA
c:163,2005-02-01,series-b,14000000,1,159,SF Bay,94404,CA
c:522,2003-08-01,angel,800000,1,512,SF Bay,94107,CA
c:523,2004-06-23,series-a,1400000,1,513,Denver,80202,CO
c:524,2004-10-06,series-b,8500000,2,514,Austin,,TX
c:525,2005-02-01,series-a,5600000,2,515,SF Bay,,CA
c:526,2003-07-01,series-a,1500000,1,516,SF Bay,,CA
c:526,2004-09-01,series-b,11800000,6,516,SF Bay,,CA
c:1017,2007-01-01,venture,\N,0,1000,SF Bay,94710,CA
c:520,2007-05-01,series-c+,10000000,2,510,United States - Other,\N,\N
c:531,2007-08-01,series-a,17500000,3,6138,SF Bay,94002,CA
c:531,2007-08-01,series-a,17500000,3,6139,Los Angeles,90405,CA
c:531,2007-08-01,series-a,17500000,3,6140,Fort Lauderdale,33309,FL
c:533,2001-03-01,series-a,22900000,5,523,SF Bay,94104,CA
c:534,2004-07-01,series-a,11000000,2,524,Los Angeles,90292,CA
c:535,2007-08-01,series-b,4500000,1,525,New York,10004,NY
c:536,2003-12-01,series-a,8400000,1,526,SF Bay,94402,CA
c:536,2003-12-01,series-b,13000000,4,526,SF Bay,94402,CA
c:537,2000-06-01,series-a,3000000,1,527,Los Angeles,90404,CA
c:537,2004-11-01,series-b,110000000,3,527,Los Angeles,90404,CA
c:540,2001-03-01,series-a,3000000,1,530,New York,10018,NY
c:48,2004-11-01,series-a,8400000,1,47,Chicago,60601,IL
c:49,2004-08-01,series-a,5200000,2,48,SF Bay,,CA
